student_id,study_hours,attendance_percentage,class_participation,sleep_hours,previous_grade,internet_access,extra_activities,parent_education,stress_level,grade
464,27,81,3,7.9,C,No,Yes,PostGraduate,1,B
465,31,100,5,9.3,A,Yes,No,Graduate,1,B
466,1,87,1,3.7,A,Yes,No,Graduate,4,B
467,4,71,3,6.2,A,No,Yes,Graduate,7,D
468,8,100,2,7.5,C,No,Yes,HighSchool,1,C
469,23,79,0,10.0,C,Yes,Yes,HighSchool,4,A
470,21,97,5,6.8,D,No,Yes,Graduate,2,D
471,10,83,3,8.8,A,No,No,Graduate,7,D
472,28,50,4,6.1,B,Yes,Yes,PostGraduate,4,D
473,12,65,5,8.7,A,Yes,No,HighSchool,4,C
474,6,54,8,10.0,A,Yes,Yes,Graduate,7,A
475,0,50,8,7.4,B,No,No,PostGraduate,7,B
476,6,86,1,5.2,B,Yes,No,PostGraduate,7,C
477,27,56,10,5.1,A,Yes,Yes,Graduate,5,C
478,9,71,7,6.5,A,No,No,Graduate,7,C
479,6,100,6,8.9,C,Yes,No,HighSchool,6,C
480,8,100,6,5.1,D,Yes,No,HighSchool,5,B
481,15,80,0,5.5,A,Yes,No,HighSchool,6,D
482,8,70,5,3.8,C,Yes,No,HighSchool,6,C
483,20,58,5,5.3,D,No,No,Graduate,2,C
484,14,58,1,4.6,C,No,No,HighSchool,2,C
485,8,100,6,9.4,A,Yes,Yes,PostGraduate,6,C
486,19,60,6,6.7,B,No,No,Graduate,7,C
487,3,91,8,7.2,C,Yes,No,HighSchool,1,B
488,17,100,6,3.3,D,Yes,No,Graduate,3,D
489,28,94,2,6.1,A,Yes,No,HighSchool,5,B
490,23,61,5,8.5,C,No,Yes,Graduate,1,D
491,13,50,2,6.2,C,Yes,No,Graduate,4,C
492,16,100,0,6.2,D,Yes,No,PostGraduate,6,D
493,14,100,7,6.4,A,Yes,Yes,PostGraduate,6,B
494,4,84,2,8.0,B,No,No,PostGraduate,7,C
495,9,72,7,6.2,C,No,Yes,Graduate,1,C
496,8,65,4,8.6,D,Yes,Yes,HighSchool,10,C
497,19,75,2,6.9,B,Yes,No,PostGraduate,1,C
498,26,100,6,6.0,A,Yes,Yes,Graduate,3,C
499,17,85,5,4.8,A,No,No,PostGraduate,3,B
500,17,69,8,4.7,B,No,No,HighSchool,4,D
501,20,98,5,10.0,C,Yes,No,PostGraduate,6,C
502,7,50,9,6.8,C,No,No,HighSchool,6,D
503,0,59,7,6.5,C,Yes,Yes,HighSchool,9,D
504,0,84,2,4.2,C,No,No,PostGraduate,4,D
505,6,81,7,8.7,B,No,Yes,PostGraduate,7,C
506,5,77,6,6.4,C,Yes,No,HighSchool,5,B
507,27,84,4,3.0,A,Yes,Yes,HighSchool,5,C
508,23,65,10,6.2,C,No,No,PostGraduate,6,B
509,8,88,2,9.8,C,Yes,Yes,HighSchool,5,D
510,33,67,2,7.2,B,No,Yes,PostGraduate,8,C
511,14,56,5,8.5,C,No,No,Graduate,7,A
512,9,90,7,8.3,A,No,Yes,PostGraduate,9,B
513,6,100,0,9.0,C,Yes,No,HighSchool,5,D
514,17,100,6,7.9,C,Yes,Yes,PostGraduate,5,D
515,15,67,4,5.3,B,Yes,No,Graduate,4,D
516,13,100,6,7.0,D,Yes,No,Graduate,4,B
517,0,84,1,6.4,C,No,Yes,PostGraduate,9,D
518,19,70,0,5.3,C,Yes,No,Graduate,4,C
519,10,73,3,7.9,D,Yes,Yes,HighSchool,5,D
520,0,99,4,9.4,C,Yes,No,PostGraduate,7,D
521,8,50,3,4.2,A,Yes,No,Graduate,5,B
522,5,64,5,6.8,C,No,Yes,HighSchool,10,D
523,21,80,7,6.2,D,Yes,Yes,HighSchool,1,D
524,23,100,3,7.7,C,Yes,No,HighSchool,3,C
525,13,64,9,4.8,B,No,Yes,HighSchool,1,B
526,4,70,5,6.3,A,Yes,No,Graduate,1,C
527,0,79,1,6.7,A,Yes,No,PostGraduate,5,D
528,14,80,7,7.6,B,Yes,No,PostGraduate,5,C
529,18,79,6,8.3,A,Yes,Yes,Graduate,3,D
530,24,65,1,10.0,C,No,Yes,Graduate,3,C
531,3,80,5,6.6,D,Yes,No,HighSchool,2,B
532,15,72,8,10.0,C,Yes,Yes,Graduate,3,D
533,21,61,3,5.6,B,No,No,HighSchool,1,C
534,6,85,2,6.9,D,No,No,Graduate,4,D
535,22,73,1,9.9,B,Yes,No,Graduate,5,C
536,2,87,0,5.1,C,No,Yes,PostGraduate,6,D
537,21,58,3,5.6,C,Yes,Yes,HighSchool,7,B
538,21,97,7,6.7,C,Yes,Yes,PostGraduate,1,A
539,14,67,4,4.7,B,No,Yes,PostGraduate,1,D
540,14,75,6,6.1,C,Yes,Yes,PostGraduate,1,A
541,16,89,8,9.3,B,No,No,HighSchool,1,A
542,8,100,2,8.5,C,Yes,Yes,Graduate,10,D
543,8,100,7,7.5,B,Yes,No,HighSchool,10,B
544,5,91,5,3.6,C,No,Yes,PostGraduate,3,A
545,10,57,4,6.0,C,Yes,Yes,PostGraduate,1,A
546,8,77,10,8.6,A,No,No,PostGraduate,7,A
547,3,87,7,5.6,A,No,No,HighSchool,5,C
548,0,68,3,5.6,B,No,Yes,PostGraduate,7,D
549,18,85,7,8.6,A,No,No,HighSchool,3,B
550,1,59,2,5.2,A,Yes,Yes,Graduate,5,D
551,11,88,5,7.4,D,Yes,Yes,HighSchool,3,B
552,26,68,9,7.6,D,No,No,Graduate,5,D
553,14,77,6,6.0,B,No,No,Graduate,3,D
554,3,64,3,7.5,A,Yes,Yes,PostGraduate,5,D
555,29,93,7,9.5,A,No,No,Graduate,3,D
556,33,92,10,6.5,C,Yes,No,Graduate,6,C
557,14,78,9,6.9,C,Yes,No,HighSchool,3,D
558,18,67,6,8.4,A,Yes,Yes,Graduate,10,D
559,19,100,2,7.9,B,Yes,Yes,PostGraduate,5,D
560,15,98,3,8.8,D,No,No,HighSchool,2,C
561,9,89,3,6.0,C,No,Yes,PostGraduate,1,C
562,8,68,3,7.1,D,Yes,Yes,PostGraduate,8,B
563,27,63,0,4.3,A,No,No,PostGraduate,3,A
564,0,64,8,6.3,A,Yes,No,PostGraduate,6,C
565,24,81,0,5.8,A,No,Yes,Graduate,3,D
566,7,96,6,3.0,D,Yes,No,HighSchool,8,D
567,0,82,0,6.9,A,No,Yes,PostGraduate,3,D
568,9,69,4,8.4,A,No,No,Graduate,1,A
569,15,81,2,7.8,B,No,No,HighSchool,6,D
570,25,95,4,6.4,B,Yes,No,HighSchool,3,C
571,18,65,1,8.2,D,Yes,Yes,HighSchool,6,D
572,16,52,5,7.5,A,No,Yes,HighSchool,6,B
573,12,61,8,7.1,C,Yes,No,PostGraduate,6,D
574,9,100,10,8.8,A,Yes,No,HighSchool,2,C
575,19,72,7,7.6,D,No,Yes,PostGraduate,2,B
576,12,86,7,10.0,A,Yes,Yes,HighSchool,2,B
577,13,77,3,6.7,B,No,No,HighSchool,1,D
578,11,89,1,4.6,C,No,No,Graduate,1,C
579,19,78,2,5.3,C,No,Yes,HighSchool,7,C
580,18,83,5,5.9,C,No,Yes,Graduate,4,A
581,14,77,8,6.0,B,No,No,HighSchool,2,B
582,16,61,3,5.7,C,Yes,No,Graduate,2,A
583,2,72,3,4.6,D,No,Yes,Graduate,4,D
584,18,77,3,8.7,B,Yes,Yes,Graduate,1,B
585,20,67,3,4.3,C,No,No,HighSchool,6,B
586,2,54,10,8.4,A,No,Yes,HighSchool,1,C
587,19,50,9,5.3,C,Yes,Yes,HighSchool,2,C
588,16,73,8,4.9,D,No,No,HighSchool,4,B
589,17,100,1,5.8,D,No,Yes,Graduate,5,B
590,12,64,9,3.0,A,No,Yes,PostGraduate,5,D
591,21,80,3,4.8,A,Yes,No,Graduate,1,B
592,19,79,7,8.9,D,Yes,No,PostGraduate,3,C
593,3,50,3,5.7,D,Yes,Yes,HighSchool,8,C
594,9,66,3,9.3,A,No,No,Graduate,4,D
595,6,67,1,8.4,B,Yes,Yes,PostGraduate,6,A
596,17,74,3,6.6,D,Yes,No,HighSchool,1,D
597,14,76,9,5.8,B,Yes,Yes,Graduate,4,B
598,16,88,0,7.6,B,Yes,No,Graduate,5,C
599,19,92,10,4.4,B,No,No,Graduate,8,C
600,17,67,4,4.1,A,Yes,Yes,Graduate,4,A
601,28,60,2,10.0,A,No,No,HighSchool,3,D
602,14,68,4,9.5,B,No,No,Graduate,1,D
603,11,95,8,8.4,C,Yes,No,Graduate,5,D
604,8,81,0,5.1,D,Yes,Yes,Graduate,9,D
605,0,92,2,6.0,B,No,Yes,PostGraduate,3,C
606,16,84,4,6.8,B,No,Yes,PostGraduate,4,D
607,21,100,4,8.2,D,No,Yes,PostGraduate,7,B
608,17,74,4,6.5,D,No,No,PostGraduate,9,C
609,15,75,4,6.8,A,No,No,Graduate,3,D
610,15,85,9,4.8,C,No,No,HighSchool,3,B
611,18,77,5,5.0,A,No,No,Graduate,3,D
612,11,65,3,4.3,D,No,No,Graduate,4,D
613,11,72,1,6.4,D,No,No,Graduate,3,D
614,4,100,10,3.0,B,No,No,PostGraduate,1,B
615,13,71,0,7.2,D,Yes,Yes,HighSchool,1,C
616,21,67,6,7.4,A,Yes,Yes,Graduate,7,D
617,28,63,2,6.6,A,No,Yes,Graduate,10,C
618,16,95,3,5.8,C,No,Yes,Graduate,7,C
619,15,86,9,4.3,B,No,Yes,PostGraduate,1,D
620,15,71,4,10.0,D,No,No,HighSchool,5,B
621,23,100,4,8.7,D,Yes,No,HighSchool,6,B
622,18,76,1,8.1,C,Yes,Yes,PostGraduate,8,C
623,17,75,1,4.8,A,Yes,Yes,Graduate,7,C
624,13,66,7,9.4,B,Yes,No,PostGraduate,1,B
625,9,90,0,8.2,A,Yes,No,HighSchool,3,B
626,0,100,4,9.0,A,No,Yes,PostGraduate,7,A
627,22,80,8,6.7,B,Yes,No,PostGraduate,2,D
628,17,69,2,5.5,C,No,Yes,PostGraduate,2,C
629,18,69,7,10.0,D,No,Yes,Graduate,3,D
630,17,100,1,6.5,A,No,Yes,PostGraduate,6,D
631,7,100,6,4.1,B,No,Yes,PostGraduate,1,B
632,14,69,1,8.5,B,No,Yes,Graduate,7,C
633,26,73,6,5.6,D,No,Yes,PostGraduate,10,B
634,0,87,3,8.3,B,Yes,No,HighSchool,6,A
635,6,79,5,3.3,B,No,Yes,Graduate,6,A
636,23,80,0,7.8,D,No,Yes,Graduate,5,B
637,25,91,0,7.2,C,Yes,Yes,Graduate,7,D
638,12,80,10,9.2,D,Yes,No,Graduate,8,B
639,4,69,9,7.3,C,Yes,Yes,Graduate,7,B
640,13,82,8,4.0,C,No,Yes,PostGraduate,3,B
641,18,79,5,9.4,C,No,Yes,PostGraduate,4,A
642,16,82,6,6.3,B,No,Yes,HighSchool,4,A
643,15,66,5,3.0,C,Yes,No,HighSchool,5,C
644,6,86,4,10.0,C,Yes,No,HighSchool,7,B
645,7,87,6,7.5,C,Yes,No,HighSchool,1,D
646,8,65,4,8.7,A,Yes,No,HighSchool,2,C
647,10,80,5,7.0,A,Yes,No,HighSchool,7,C
648,33,79,6,6.1,B,Yes,No,PostGraduate,1,C
649,22,79,5,6.7,C,No,Yes,PostGraduate,7,D
650,2,100,8,8.4,B,No,No,PostGraduate,6,D
651,20,73,6,6.6,C,Yes,Yes,HighSchool,8,C
652,18,75,1,6.3,D,Yes,No,HighSchool,4,D
653,14,74,6,3.0,B,No,Yes,Graduate,7,C
654,25,74,2,3.0,C,No,No,Graduate,4,B
655,20,79,5,5.8,D,Yes,Yes,PostGraduate,1,B
656,34,56,10,6.9,C,No,No,PostGraduate,2,D
657,17,90,5,6.8,C,No,Yes,HighSchool,5,C
658,33,89,1,9.1,A,Yes,Yes,PostGraduate,10,C
659,7,100,2,6.3,D,Yes,No,Graduate,2,C
660,19,75,8,8.6,B,No,Yes,Graduate,1,C
661,14,89,2,7.9,A,No,Yes,Graduate,2,A
662,22,70,4,7.1,D,Yes,No,PostGraduate,7,D
663,17,100,4,8.0,C,No,Yes,Graduate,4,C
664,19,56,5,7.1,C,No,Yes,PostGraduate,5,D
665,22,89,4,5.2,B,Yes,Yes,PostGraduate,1,A
666,16,95,9,5.2,D,Yes,No,Graduate,7,A
667,21,72,2,4.8,B,Yes,Yes,PostGraduate,6,D
668,17,65,6,6.1,B,Yes,No,PostGraduate,7,C
669,11,68,6,8.4,D,No,Yes,Graduate,7,C
670,37,94,9,10.0,D,Yes,No,Graduate,6,D
671,3,59,3,7.7,C,Yes,No,HighSchool,6,D
672,8,87,2,7.0,A,Yes,Yes,PostGraduate,3,B
673,10,74,1,7.7,B,Yes,Yes,Graduate,7,C
674,4,83,3,3.9,A,Yes,Yes,HighSchool,4,B
675,12,75,4,7.0,A,Yes,Yes,PostGraduate,8,B
676,9,51,6,8.9,C,Yes,Yes,HighSchool,3,B
677,27,71,4,3.0,C,Yes,No,PostGraduate,1,D
678,13,73,5,7.7,D,No,Yes,Graduate,1,C
679,9,74,4,7.3,B,No,No,HighSchool,7,C
680,31,88,0,10.0,B,Yes,No,Graduate,8,D
681,18,97,6,8.3,D,No,No,HighSchool,7,A
682,2,59,4,5.0,C,Yes,No,Graduate,10,D
683,24,64,1,8.9,A,No,No,PostGraduate,5,D
684,22,81,8,7.3,B,Yes,Yes,HighSchool,5,C
685,23,100,7,8.5,B,Yes,No,Graduate,4,C
686,16,71,4,8.5,D,Yes,Yes,Graduate,7,C
687,0,75,10,9.5,B,Yes,Yes,Graduate,1,B
688,0,100,2,6.3,C,Yes,No,Graduate,1,D
689,10,69,5,3.9,C,No,No,PostGraduate,3,D
690,17,83,4,5.7,D,Yes,Yes,PostGraduate,4,D
691,22,62,6,6.7,C,No,Yes,PostGraduate,10,D
692,15,96,6,3.5,C,Yes,No,Graduate,6,D
693,24,72,2,9.7,C,Yes,No,PostGraduate,6,D
694,17,80,0,10.0,C,No,Yes,HighSchool,6,C
695,15,80,2,8.9,D,No,No,Graduate,8,C
696,30,65,7,6.9,D,Yes,Yes,PostGraduate,9,C
697,6,97,6,6.5,B,Yes,No,Graduate,4,D
698,27,99,9,7.5,A,No,Yes,HighSchool,1,B
699,11,84,4,7.5,C,No,No,PostGraduate,1,D
700,7,85,3,3.6,B,No,Yes,Graduate,4,C
701,9,61,7,10.0,A,Yes,Yes,HighSchool,5,C
702,4,70,1,8.7,B,No,Yes,HighSchool,4,B
703,23,76,6,9.2,C,No,No,Graduate,3,D
704,22,66,6,4.8,C,Yes,No,HighSchool,6,C
705,9,98,2,5.1,B,No,No,PostGraduate,3,D
706,9,50,1,8.7,C,Yes,No,HighSchool,5,B
707,19,70,4,7.4,C,No,Yes,PostGraduate,9,B
708,19,77,1,8.2,A,Yes,Yes,PostGraduate,2,D
709,14,90,3,7.0,A,No,No,Graduate,4,B
710,25,100,4,8.1,A,No,No,PostGraduate,6,C
711,35,100,10,6.5,C,No,No,Graduate,1,B
712,14,74,2,6.5,D,Yes,Yes,HighSchool,5,C
713,14,82,5,6.5,B,Yes,Yes,Graduate,3,B
714,1,68,3,8.3,D,No,Yes,PostGraduate,3,B
715,28,87,5,9.5,D,Yes,No,PostGraduate,3,B
716,16,80,4,4.6,A,Yes,Yes,HighSchool,2,C
717,19,66,3,8.0,D,Yes,Yes,Graduate,2,C
718,4,73,4,9.6,D,No,Yes,PostGraduate,6,D
719,2,83,3,5.9,B,Yes,No,PostGraduate,1,D
720,21,100,5,6.9,D,No,No,HighSchool,7,B
721,10,81,6,9.4,D,Yes,No,PostGraduate,5,B
722,9,81,6,8.7,C,No,No,PostGraduate,9,C
723,23,87,4,5.7,A,Yes,Yes,PostGraduate,7,D
724,12,61,2,8.3,B,Yes,Yes,HighSchool,7,B
725,10,100,6,6.1,D,Yes,Yes,HighSchool,1,D
726,15,86,2,6.2,B,Yes,No,HighSchool,1,B
727,24,82,8,5.0,D,Yes,Yes,Graduate,2,D
728,13,70,8,7.1,B,No,No,PostGraduate,7,D
729,8,78,6,3.7,A,Yes,No,HighSchool,6,B
730,22,79,3,7.6,C,No,No,Graduate,3,D
731,6,68,6,10.0,A,No,Yes,Graduate,4,A
732,22,55,2,6.8,C,Yes,Yes,Graduate,4,D
733,13,86,3,7.6,A,No,Yes,PostGraduate,1,D
734,0,95,3,7.8,A,No,No,PostGraduate,1,B
735,22,100,4,6.7,D,No,Yes,PostGraduate,10,B
736,21,88,7,3.0,D,Yes,No,PostGraduate,7,C
737,28,58,4,3.0,D,No,No,Graduate,8,C
738,13,79,10,7.6,C,Yes,Yes,Graduate,4,B
739,17,100,9,8.3,C,Yes,No,Graduate,1,B
740,21,100,6,9.8,C,Yes,Yes,HighSchool,8,B
741,15,73,4,7.2,C,No,Yes,PostGraduate,2,C
742,8,67,2,5.9,D,Yes,No,HighSchool,6,C
743,18,79,1,5.2,C,No,No,PostGraduate,6,B
744,3,89,6,6.9,D,No,No,PostGraduate,6,D
745,8,73,4,6.5,B,Yes,No,PostGraduate,1,B
746,12,92,3,7.9,B,No,No,PostGraduate,6,B
747,22,70,10,7.6,C,No,No,Graduate,6,D
748,1,64,0,7.4,D,No,Yes,PostGraduate,5,D
749,8,82,3,6.3,D,Yes,No,PostGraduate,9,D
750,18,76,9,3.0,D,Yes,Yes,Graduate,8,D
751,22,92,1,3.5,D,No,No,PostGraduate,6,B
752,0,73,3,7.5,B,Yes,Yes,PostGraduate,1,C
753,18,60,6,8.4,D,No,No,Graduate,2,B
754,12,97,5,8.6,D,Yes,No,Graduate,6,A
755,8,85,0,7.4,A,Yes,Yes,HighSchool,4,C
756,16,96,8,5.4,C,No,Yes,PostGraduate,1,B
757,11,66,4,7.0,B,Yes,Yes,PostGraduate,10,D
758,23,86,6,5.8,C,Yes,Yes,PostGraduate,8,C
759,3,79,2,5.2,D,Yes,No,Graduate,3,A
760,7,72,7,9.9,D,Yes,Yes,PostGraduate,7,D
761,18,74,4,6.0,D,No,No,Graduate,6,C
762,22,88,3,5.7,C,No,No,Graduate,1,B
763,29,82,2,9.1,D,Yes,No,Graduate,5,D
764,11,69,2,9.1,C,Yes,Yes,PostGraduate,1,C
765,29,82,5,4.7,C,Yes,Yes,PostGraduate,5,D
766,6,87,7,8.7,B,No,Yes,Graduate,2,D
767,17,95,4,5.8,D,No,Yes,Graduate,5,D
768,11,73,6,7.8,C,No,Yes,Graduate,4,B
769,7,50,8,4.5,A,No,Yes,PostGraduate,2,D
770,17,50,5,6.1,B,Yes,No,HighSchool,6,C
771,20,58,3,5.9,C,No,No,PostGraduate,3,A
772,16,78,3,6.7,C,No,No,Graduate,4,D
773,2,94,3,7.5,A,No,Yes,Graduate,3,A
774,21,93,4,8.5,B,Yes,Yes,PostGraduate,3,A
775,21,66,3,5.2,B,No,No,HighSchool,4,D
776,17,89,7,7.5,B,Yes,No,PostGraduate,1,C
777,16,66,7,3.3,C,Yes,No,Graduate,5,B
778,10,87,3,7.1,B,No,Yes,Graduate,9,D
779,23,76,4,7.6,A,No,No,PostGraduate,7,B
780,21,100,4,7.5,B,Yes,Yes,PostGraduate,4,D
781,17,71,7,7.4,C,No,Yes,HighSchool,3,B
782,23,76,4,6.9,D,Yes,Yes,PostGraduate,1,C
783,7,89,6,6.4,A,No,No,HighSchool,8,C
784,19,84,7,9.1,D,No,No,HighSchool,7,B
785,16,55,6,9.0,A,No,Yes,HighSchool,7,D
786,13,100,5,8.7,B,Yes,Yes,Graduate,9,D
787,27,96,6,7.0,A,Yes,Yes,HighSchool,6,D
788,17,55,5,7.2,D,Yes,No,PostGraduate,9,D
789,6,69,8,6.2,B,No,No,Graduate,2,B
790,10,85,7,6.2,C,No,No,PostGraduate,2,D
791,7,81,8,10.0,D,No,No,PostGraduate,1,C
792,23,63,8,5.4,D,Yes,Yes,HighSchool,3,A
793,29,76,6,5.3,D,No,Yes,Graduate,1,D
794,25,88,0,4.8,B,Yes,No,Graduate,4,C
795,17,74,3,9.5,A,Yes,No,Graduate,3,C
796,19,92,2,7.3,D,Yes,Yes,Graduate,6,D
797,9,83,9,8.4,D,Yes,Yes,PostGraduate,1,D
798,14,73,6,5.9,A,No,No,HighSchool,3,D
799,11,92,1,5.3,A,Yes,Yes,PostGraduate,1,A
800,29,75,5,5.7,A,Yes,Yes,HighSchool,3,D
801,17,82,3,4.1,B,Yes,No,Graduate,1,C
802,14,73,1,5.0,D,No,Yes,PostGraduate,1,C
803,16,81,1,7.2,D,Yes,No,Graduate,8,C
804,4,73,6,10.0,C,No,Yes,Graduate,3,C
805,0,75,2,10.0,C,No,No,PostGraduate,7,A
806,8,71,10,10.0,D,Yes,No,Graduate,6,B
807,12,59,3,7.9,B,Yes,Yes,HighSchool,7,D
808,3,70,1,6.1,B,No,No,Graduate,4,D
809,34,70,0,3.0,A,Yes,No,HighSchool,1,C
810,20,50,3,3.0,D,No,Yes,PostGraduate,10,C
811,24,100,3,6.3,A,No,Yes,PostGraduate,9,B
812,18,98,3,9.2,C,No,No,HighSchool,4,B
813,9,54,5,6.9,C,No,No,Graduate,4,B
814,32,88,5,6.0,D,Yes,Yes,PostGraduate,4,D
815,21,83,4,5.0,B,No,No,Graduate,2,D
816,3,74,4,7.2,D,Yes,No,HighSchool,6,C
817,18,82,3,6.6,B,Yes,Yes,Graduate,2,B
818,13,100,9,5.5,A,Yes,Yes,PostGraduate,6,C
819,10,69,3,7.3,C,Yes,No,Graduate,1,D
820,9,83,9,6.8,D,Yes,No,Graduate,5,D
821,34,100,7,7.3,A,Yes,No,PostGraduate,8,A
822,13,80,7,5.2,C,No,No,PostGraduate,6,D
823,8,87,0,8.3,A,No,No,HighSchool,2,C
824,24,100,1,6.3,B,No,No,HighSchool,5,D
825,14,91,0,6.6,D,No,No,Graduate,1,C
826,18,77,1,4.2,B,Yes,Yes,Graduate,7,D
827,10,90,7,7.8,B,No,Yes,HighSchool,1,D
828,13,91,6,6.0,A,No,No,HighSchool,8,D
829,0,84,3,9.1,B,Yes,No,HighSchool,1,B
830,16,98,4,6.8,A,Yes,No,PostGraduate,4,D
831,3,77,4,3.9,A,No,No,HighSchool,4,D
832,12,84,7,6.2,C,No,No,PostGraduate,7,B
833,18,77,3,7.5,C,Yes,Yes,PostGraduate,5,B
834,27,81,7,8.3,B,No,Yes,Graduate,10,D
835,16,84,5,8.6,B,Yes,Yes,Graduate,8,D
836,11,84,0,5.4,C,Yes,Yes,Graduate,9,D
837,21,88,8,3.8,C,Yes,Yes,PostGraduate,6,C
838,20,88,0,6.5,D,No,No,PostGraduate,5,D
839,13,80,3,3.4,A,No,No,Graduate,6,A
840,17,50,4,5.2,B,No,No,Graduate,4,C
841,12,51,1,7.3,D,Yes,No,Graduate,4,C
842,10,96,4,5.7,C,No,No,HighSchool,7,D
843,4,54,4,6.9,A,No,No,PostGraduate,10,D
844,11,83,3,4.2,D,No,Yes,PostGraduate,8,B
845,18,66,9,8.9,D,Yes,Yes,PostGraduate,8,B
846,6,70,0,8.6,C,No,No,Graduate,7,C
847,32,89,7,5.0,D,No,Yes,HighSchool,4,D
848,25,76,5,5.5,D,Yes,Yes,Graduate,3,C
849,4,83,4,6.1,D,Yes,No,Graduate,7,D
850,27,75,3,6.6,A,No,Yes,Graduate,6,A
851,9,75,4,8.0,D,No,Yes,Graduate,3,B
852,11,51,5,6.1,B,Yes,No,PostGraduate,7,D
853,9,94,3,7.4,D,Yes,Yes,PostGraduate,2,C
854,15,100,0,5.6,A,No,Yes,PostGraduate,1,B
855,33,82,2,5.3,B,Yes,Yes,HighSchool,8,D
856,13,78,2,7.8,A,Yes,No,Graduate,6,C
857,0,83,10,9.3,A,No,No,Graduate,7,B
858,12,50,4,7.1,A,No,Yes,Graduate,2,D
859,12,81,6,7.5,B,Yes,Yes,Graduate,8,C
860,4,82,5,7.4,C,Yes,No,Graduate,5,C
861,9,65,0,7.1,A,Yes,Yes,Graduate,7,D
862,3,74,3,8.4,A,Yes,Yes,HighSchool,7,C
863,21,69,5,3.7,C,No,Yes,HighSchool,7,C
864,16,97,5,6.9,A,No,Yes,HighSchool,3,D
865,14,86,3,10.0,D,Yes,No,Graduate,3,C
866,28,80,4,8.5,C,No,Yes,HighSchool,10,D
867,11,95,4,5.1,D,No,Yes,HighSchool,7,D
868,15,69,5,3.8,C,Yes,No,HighSchool,6,D
869,14,81,0,7.7,B,Yes,Yes,PostGraduate,3,C
870,11,57,6,6.4,B,Yes,Yes,Graduate,5,B
871,8,100,5,7.8,B,No,Yes,Graduate,9,D
872,8,82,6,7.2,B,Yes,No,PostGraduate,8,C
873,24,69,4,6.7,A,Yes,No,PostGraduate,1,A
874,18,100,2,5.1,D,Yes,No,HighSchool,8,C
875,23,62,9,4.7,D,Yes,No,PostGraduate,1,D
876,0,53,3,6.1,D,No,Yes,PostGraduate,3,C
877,10,71,8,9.3,D,No,No,Graduate,8,B
878,20,85,4,7.4,B,No,No,HighSchool,7,C
879,9,100,5,4.4,D,Yes,Yes,Graduate,5,B
880,21,65,4,9.8,C,No,Yes,HighSchool,1,C
881,3,97,6,5.6,A,No,Yes,HighSchool,4,C
882,14,77,7,5.7,B,No,Yes,PostGraduate,2,B
883,2,87,2,8.3,A,Yes,No,PostGraduate,3,B
884,31,90,5,8.4,C,No,Yes,Graduate,7,D
885,17,73,3,7.6,D,No,Yes,HighSchool,4,D
886,16,61,6,5.3,C,Yes,No,HighSchool,7,B
887,25,80,10,3.0,C,Yes,Yes,PostGraduate,6,D
888,12,89,3,4.6,C,Yes,No,HighSchool,2,C
889,4,64,3,3.7,B,Yes,Yes,HighSchool,7,C
890,5,84,3,5.3,A,Yes,Yes,HighSchool,3,C
891,4,83,4,6.8,D,Yes,No,HighSchool,10,C
892,13,70,5,10.0,D,No,No,PostGraduate,8,B
893,0,75,4,7.5,A,No,Yes,Graduate,1,C
894,14,79,5,8.2,A,No,No,HighSchool,3,B
895,8,80,5,6.0,B,No,No,HighSchool,1,B
896,17,81,2,7.6,C,Yes,Yes,HighSchool,3,B
897,19,86,8,5.2,A,Yes,Yes,HighSchool,3,C
898,12,63,7,4.3,B,Yes,No,Graduate,1,D
899,9,84,4,6.8,C,No,Yes,PostGraduate,5,C
900,29,92,6,4.7,D,No,Yes,Graduate,10,D
901,17,67,3,5.9,B,Yes,No,Graduate,2,B
902,17,83,2,5.8,A,Yes,No,PostGraduate,9,D
903,7,88,2,8.1,D,Yes,No,PostGraduate,1,A
904,19,70,5,5.9,D,Yes,No,HighSchool,4,D
905,11,91,10,8.9,C,Yes,No,PostGraduate,4,C
906,24,70,5,8.4,C,No,No,Graduate,6,B
907,26,90,7,7.4,D,No,Yes,PostGraduate,7,B
908,12,62,6,8.3,C,No,Yes,PostGraduate,3,C
909,11,92,4,3.3,C,Yes,Yes,Graduate,2,D
910,20,79,5,5.8,C,Yes,Yes,PostGraduate,5,C
911,34,68,3,5.4,C,No,Yes,Graduate,7,C
912,15,94,5,4.8,C,No,No,HighSchool,1,A
913,16,68,3,5.7,D,No,Yes,HighSchool,4,C
914,14,100,0,6.4,A,Yes,Yes,Graduate,4,C
915,28,95,3,6.6,D,No,No,Graduate,2,C
916,22,71,5,6.8,A,Yes,Yes,Graduate,4,B
917,32,68,3,9.5,B,No,No,PostGraduate,4,D
918,7,89,5,9.8,D,No,Yes,HighSchool,4,B
919,10,96,10,9.1,B,No,No,HighSchool,1,D
920,9,93,9,7.5,A,No,No,PostGraduate,1,C
921,12,85,3,8.1,B,Yes,No,HighSchool,6,B
922,1,100,4,6.1,D,Yes,No,Graduate,8,C
923,10,72,9,3.0,C,No,Yes,PostGraduate,9,D
924,31,68,6,7.0,D,No,No,Graduate,6,C
925,20,54,5,7.2,D,Yes,Yes,Graduate,4,A
926,13,80,5,7.1,B,Yes,No,HighSchool,5,B
927,29,89,8,6.7,C,Yes,Yes,PostGraduate,1,C
